operator,plan_name,plan_code,data_allowance_raw,data_allowance_normalized,qos_raw,qos_speed,voice_allowance,sms_allowance,base_price_text,base_price,benefit_price_text,benefit_price,plan_type,partnership_flag,network_type,product_group,source_url,collected_at
리브엠모바일,5G 실속 4GB(100분)(KT망),PD00001341,4GB,4GB,,,100분,100건,"월 14,900원",14900,,,유심,false,5G,K20,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 실속 2GB(100분)(KT망),PD00001342,2GB,2GB,,,100분,100건,"월 11,900원",11900,,,유심,false,5G,K20,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 든든무제한 95GB+,PD00001345,95GB+3Mbps,95GB+3Mbps,95GB+3Mbps,3Mbps,기본제공,기본제공,"월 43,500원",43500,,,유심,false,5G,U16,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 무제한 99GB+(SKT망),PD00001346,99GB+1Mbps,99GB+1Mbps,99GB+1Mbps,1Mbps,기본제공,기본제공,"월 48,400원",48400,,,유심,false,5G,S03,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 7GB+(평생),PD00001347,7GB+1Mbps,7GB+1Mbps,7GB+1Mbps,1Mbps,기본제공,기본제공,"월 15,400원",15400,,,유심,false,LTE,U43,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 71GB+(평생),PD00001348,11GB+일2GB+3Mbps,11GB+일2GB+3Mbps,11GB+일2GB+3Mbps,3Mbps,기본제공,기본제공,"월 33,000원",33000,,,유심,false,LTE,U43,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 95GB+(평생),PD00001349,95GB+3Mbps,95GB+3Mbps,95GB+3Mbps,3Mbps,기본제공,기본제공,"월 40,900원",40900,,,유심,false,5G,U43,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 71GB+(초알뜰),PD00001360,11GB+일2GB+3Mbps,11GB+일2GB+3Mbps,11GB+일2GB+3Mbps,3Mbps,기본제공,기본제공,"월 39,900원",39900,,,유심,false,LTE,U47,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 95GB+(초알뜰),PD00001361,95GB+3Mbps,95GB+3Mbps,95GB+3Mbps,3Mbps,기본제공,기본제공,"월 49,900원",49900,,,유심,false,5G,U48,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 71GB+(혜택형),PD00001374,11GB+일2GB+3Mbps,11GB+일2GB+3Mbps,11GB+일2GB+3Mbps,3Mbps,기본제공,기본제공,"월 33,000원",33000,,,유심,false,LTE,U57,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
